"Total","Positive","Negative","Final decision"
13,3,10,-7
2,1,1,0
1,1,0,1
51,8,43,-35
2,2,0,2
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
1,1,0,1
4,1,3,-2
1,1,0,1
1,1,0,1
91,23,68,-45
2,1,1,0
33,7,26,-19
2,2,0,2
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
11,2,9,-7
13,1,12,-11
1,1,0,1
1,0,1,-1
4,1,3,-2
1,1,0,1
4,1,3,-2
4,1,3,-2
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
27,7,20,-13
1,1,0,1
1,1,0,1
1,1,0,1
4,1,3,-2
3,1,2,-1
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
6,1,5,-4
1,0,1,-1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
2,1,1,0
9,2,7,-5
5,2,3,-1
1,1,0,1
1,1,0,1
51,11,40,-29
2,2,0,2
1,1,0,1
52,12,40,-28
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
23,6,17,-11
1,1,0,1
9,1,8,-7
1,1,0,1
2,2,0,2
1,0,1,-1
3,2,1,1
1,1,0,1
3,1,2,-1
1,1,0,1
1,1,0,1
2,2,0,2
20,7,13,-6
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,1,2,-1
1,0,1,-1
2,2,0,2
13,4,9,-5
1,1,0,1
1,1,0,1
1,1,0,1
3,2,1,1
1,1,0,1
1,1,0,1
7,2,5,-3
1,0,1,-1
2,1,1,0
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
5,0,5,-5
1,0,1,-1
1,0,1,-1
5,0,5,-5
2,1,1,0
3,1,2,-1
6,2,4,-2
2,0,2,-2
2,0,2,-2
2,0,2,-2
4,0,4,-4
4,0,4,-4
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
1,0,1,-1
4,1,3,-2
27,3,24,-21
1,0,1,-1
1,0,1,-1
21,9,12,-3
1,0,1,-1
3,0,3,-3
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
1,0,1,-1
18,3,15,-12
6,0,6,-6
1,0,1,-1
1,0,1,-1
1,0,1,-1
24,6,18,-12
5,0,5,-5
2,0,2,-2
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,1,0,1
1,0,1,-1
1,0,1,-1
4,0,4,-4
4,0,4,-4
1,0,1,-1
1,0,1,-1
25,3,22,-19
10,1,9,-8
2,1,1,0
5,0,5,-5
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
8,1,7,-6
14,3,11,-8
1,0,1,-1
2,0,2,-2
23,0,23,-23
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
9,0,9,-9
2,0,2,-2
22,5,17,-12
2,0,2,-2
2,0,2,-2
1,0,1,-1
1,0,1,-1
22,4,18,-14
15,1,14,-13
2,0,2,-2
1,0,1,-1
1,1,0,1
1,0,1,-1
2,0,2,-2
6,2,4,-2
25,2,23,-21
1,0,1,-1
1,0,1,-1
11,3,8,-5
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
9,1,8,-7
1,0,1,-1
1,0,1,-1
5,1,4,-3
3,0,3,-3
1,0,1,-1
3,0,3,-3
38,8,30,-22
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
2,0,2,-2
3,0,3,-3
1,0,1,-1
1,0,1,-1
3,1,2,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
2,0,2,-2
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
2,0,2,-2
2,0,2,-2
1,0,1,-1
4,0,4,-4
3,0,3,-3
1,0,1,-1
2,0,2,-2
1,0,1,-1
19,0,19,-19
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
8,1,7,-6
4,1,3,-2
1,0,1,-1
2,0,2,-2
1,0,1,-1
4,2,2,0
1,1,0,1
1,1,0,1
9,1,8,-7
9,0,9,-9
1,0,1,-1
27,5,22,-17
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
9,1,8,-7
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
16,1,15,-14
1,0,1,-1
12,1,11,-10
7,1,6,-5
14,3,11,-8
1,0,1,-1
20,2,18,-16
1,0,1,-1
1,0,1,-1
1,0,1,-1
15,1,14,-13
7,1,6,-5
18,2,16,-14
1,1,0,1
10,3,7,-4
8,2,6,-4
3,1,2,-1
27,4,23,-19
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
3,0,3,-3
2,0,2,-2
1,0,1,-1
1,0,1,-1
31,1,30,-29
2,0,2,-2
10,1,9,-8
2,0,2,-2
1,1,0,1
1,0,1,-1
3,0,3,-3
1,0,1,-1
13,2,11,-9
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
12,3,9,-6
1,0,1,-1
11,0,11,-11
6,0,6,-6
1,0,1,-1
17,4,13,-9
4,1,3,-2
6,0,6,-6
2,0,2,-2
8,2,6,-4
1,0,1,-1
3,0,3,-3
2,0,2,-2
1,1,0,1
1,0,1,-1
14,0,14,-14
18,0,18,-18
137,16,121,-105
1,0,1,-1
1,0,1,-1
4,1,3,-2
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,0,5,-5
3,0,3,-3
10,2,8,-6
2,0,2,-2
1,0,1,-1
11,2,9,-7
14,1,13,-12
1,0,1,-1
1,0,1,-1
1,0,1,-1
11,0,11,-11
2,0,2,-2
1,0,1,-1
1,0,1,-1
2,1,1,0
2,0,2,-2
1,0,1,-1
1,0,1,-1
19,2,17,-15
6,1,5,-4
6,0,6,-6
4,1,3,-2
16,3,13,-10
5,0,5,-5
2,0,2,-2
1,0,1,-1
5,0,5,-5
2,0,2,-2
13,3,10,-7
1,0,1,-1
7,4,3,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
4,1,3,-2
31,2,29,-27
19,4,15,-11
3,0,3,-3
7,3,4,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
4,1,3,-2
4,1,3,-2
4,1,3,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
14,1,13,-12
1,0,1,-1
4,0,4,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
12,1,11,-10
22,3,19,-16
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
4,1,3,-2
10,0,10,-10
1,0,1,-1
1,0,1,-1
1,0,1,-1
11,1,10,-9
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
7,1,6,-5
6,2,4,-2
1,0,1,-1
5,1,4,-3
1,0,1,-1
1,0,1,-1
5,0,5,-5
9,0,9,-9
1,0,1,-1
1,0,1,-1
1,0,1,-1
10,1,9,-8
1,1,0,1
1,1,0,1
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
11,7,4,3
1,0,1,-1
1,0,1,-1
6,0,6,-6
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
2,0,2,-2
5,1,4,-3
2,1,1,0
1,0,1,-1
1,0,1,-1
28,4,24,-20
4,0,4,-4
1,0,1,-1
17,0,17,-17
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
63,9,54,-45
18,2,16,-14
39,9,30,-21
1,0,1,-1
4,1,3,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
2,1,1,0
5,1,4,-3
1,0,1,-1
1,1,0,1
2,0,2,-2
1,1,0,1
1,0,1,-1
1,0,1,-1
41,13,28,-15
1,0,1,-1
16,0,16,-16
6,0,6,-6
39,9,30,-21
7,1,6,-5
1,1,0,1
33,3,30,-27
6,1,5,-4
1,0,1,-1
8,0,8,-8
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
52,4,48,-44
2,1,1,0
56,31,25,6
1,1,0,1
2,0,2,-2
9,4,5,-1
1,0,1,-1
2,0,2,-2
2,1,1,0
3,0,3,-3
151,14,137,-123
2,0,2,-2
2,0,2,-2
5,1,4,-3
1,0,1,-1
37,3,34,-31
3,1,2,-1
1,0,1,-1
6,1,5,-4
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,1,1,0
1,0,1,-1
14,4,10,-6
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
18,3,15,-12
1,0,1,-1
18,4,14,-10
1,0,1,-1
2,0,2,-2
36,5,31,-26
1,0,1,-1
3,1,2,-1
5,0,5,-5
13,3,10,-7
16,3,13,-10
3,1,2,-1
6,3,3,0
2,1,1,0
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
5,3,2,1
47,16,31,-15
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
33,0,33,-33
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,1,3,-2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
42,7,35,-28
3,1,2,-1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
14,3,11,-8
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
6,1,5,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
3,1,2,-1
2,0,2,-2
2,1,1,0
1,0,1,-1
1,0,1,-1
4,0,4,-4
2,0,2,-2
3,1,2,-1
1,1,0,1
30,2,28,-26
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,1,4,-3
1,0,1,-1
2,0,2,-2
1,0,1,-1
8,1,7,-6
6,3,3,0
1,0,1,-1
1,0,1,-1
2,0,2,-2
2,0,2,-2
4,1,3,-2
2,0,2,-2
1,0,1,-1
1,1,0,1
2,0,2,-2
4,1,3,-2
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
2,1,1,0
1,0,1,-1
1,0,1,-1
1,0,1,-1
4,0,4,-4
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
6,2,4,-2
2,1,1,0
1,1,0,1
5,0,5,-5
2,1,1,0
1,1,0,1
1,1,0,1
2,1,1,0
14,3,11,-8
8,0,8,-8
1,0,1,-1
1,0,1,-1
3,0,3,-3
4,1,3,-2
1,1,0,1
1,0,1,-1
19,3,16,-13
4,1,3,-2
1,1,0,1
27,6,21,-15
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
7,3,4,-1
1,1,0,1
6,2,4,-2
1,0,1,-1
1,0,1,-1
2,2,0,2
4,0,4,-4
6,0,6,-6
4,0,4,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,1,1,0
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
6,1,5,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,1,0,1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
4,1,3,-2
1,0,1,-1
2,0,2,-2
6,1,5,-4
1,0,1,-1
1,0,1,-1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
19,2,17,-15
1,0,1,-1
2,0,2,-2
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
5,2,3,-1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
4,0,4,-4
1,0,1,-1
6,1,5,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,1,0,1
7,0,7,-7
5,1,4,-3
5,1,4,-3
2,0,2,-2
3,1,2,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
5,0,5,-5
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
3,1,2,-1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,2,2,0
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
8,3,5,-2
2,1,1,0
1,1,0,1
1,1,0,1
1,0,1,-1
2,1,1,0
1,0,1,-1
3,0,3,-3
2,0,2,-2
1,1,0,1
8,3,5,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
6,1,5,-4
1,0,1,-1
3,2,1,1
1,0,1,-1
2,1,1,0
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
8,0,8,-8
3,2,1,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
6,1,5,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,0,5,-5
3,1,2,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
11,3,8,-5
1,1,0,1
1,1,0,1
1,1,0,1
38,1,37,-36
1,1,0,1
1,1,0,1
2,1,1,0
1,0,1,-1
9,3,6,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,0,5,-5
43,2,41,-39
4,0,4,-4
11,4,7,-3
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,2,3,-1
1,1,0,1
1,0,1,-1
2,0,2,-2
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
103,3,100,-97
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
4,0,4,-4
1,0,1,-1
5,0,5,-5
18,4,14,-10
1,0,1,-1
1,0,1,-1
4,0,4,-4
12,3,9,-6
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
21,5,16,-11
6,1,5,-4
1,1,0,1
3,1,2,-1
1,1,0,1
13,1,12,-11
3,1,2,-1
1,1,0,1
24,1,23,-22
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
70,7,63,-56
3,2,1,1
5,1,4,-3
10,2,8,-6
5,1,4,-3
1,1,0,1
4,1,3,-2
1,1,0,1
29,3,26,-23
1,1,0,1
9,4,5,-1
36,5,31,-26
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
9,1,8,-7
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
4,2,2,0
39,6,33,-27
10,2,8,-6
3,0,3,-3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
21,3,18,-15
1,1,0,1
1,1,0,1
11,1,10,-9
4,1,3,-2
21,6,15,-9
12,2,10,-8
7,4,3,1
23,3,20,-17
20,6,14,-8
18,4,14,-10
14,4,10,-6
1,1,0,1
1,1,0,1
6,4,2,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
7,2,5,-3
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
2,2,0,2
6,1,5,-4
4,1,3,-2
2,0,2,-2
1,1,0,1
2,1,1,0
6,4,2,2
1,1,0,1
1,1,0,1
3,1,2,-1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
12,2,10,-8
12,3,9,-6
3,2,1,1
1,1,0,1
2,2,0,2
6,1,5,-4
1,1,0,1
18,4,14,-10
2,2,0,2
1,1,0,1
32,5,27,-22
6,3,3,0
2,2,0,2
1,1,0,1
13,2,11,-9
1,1,0,1
1,1,0,1
1,1,0,1
3,1,2,-1
1,1,0,1
3,2,1,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
17,6,11,-5
2,1,1,0
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,2,2,0
1,1,0,1
3,2,1,1
1,1,0,1
1,1,0,1
7,3,4,-1
10,2,8,-6
23,4,19,-15
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,1,2,-1
1,1,0,1
6,3,3,0
6,1,5,-4
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
2,1,1,0
6,1,5,-4
8,1,7,-6
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
10,2,8,-6
1,1,0,1
2,2,0,2
33,7,26,-19
1,1,0,1
6,2,4,-2
3,1,2,-1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
5,1,4,-3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
8,1,7,-6
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
18,6,12,-6
1,1,0,1
1,1,0,1
1,1,0,1
3,1,2,-1
1,1,0,1
18,1,17,-16
2,1,1,0
1,1,0,1
1,1,0,1
2,1,1,0
23,3,20,-17
3,1,2,-1
1,1,0,1
1,1,0,1
1,1,0,1
5,0,5,-5
2,1,1,0
4,1,3,-2
1,1,0,1
16,4,12,-8
1,1,0,1
1,1,0,1
8,2,6,-4
1,1,0,1
4,2,2,0
1,1,0,1
2,1,1,0
1,1,0,1
4,1,3,-2
6,1,5,-4
7,2,5,-3
24,1,23,-22
1,1,0,1
4,2,2,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
14,2,12,-10
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
12,2,10,-8
5,1,4,-3
1,1,0,1
4,3,1,2
1,1,0,1
1,1,0,1
21,5,16,-11
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
2,1,1,0
8,3,5,-2
1,1,0,1
4,1,3,-2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
5,1,4,-3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
5,1,4,-3
3,2,1,1
2,0,2,-2
8,5,3,2
10,3,7,-4
1,1,0,1
3,2,1,1
1,0,1,-1
1,1,0,1
3,1,2,-1
3,2,1,1
1,1,0,1
8,1,7,-6
1,1,0,1
1,1,0,1
1,1,0,1
15,2,13,-11
27,3,24,-21
6,2,4,-2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
20,10,10,0
1,1,0,1
3,2,1,1
1,1,0,1
10,3,7,-4
1,1,0,1
1,1,0,1
1,1,0,1
6,2,4,-2
1,1,0,1
1,1,0,1
2,1,1,0
2,1,1,0
6,3,3,0
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,2,1,1
5,1,4,-3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
8,2,6,-4
8,3,5,-2
1,1,0,1
2,1,1,0
5,2,3,-1
5,2,3,-1
1,1,0,1
1,0,1,-1
1,1,0,1
3,1,2,-1
1,1,0,1
6,3,3,0
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
21,3,18,-15
1,1,0,1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
4,0,4,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
28,7,21,-14
1,0,1,-1
15,8,7,1
1,1,0,1
8,3,5,-2
20,6,14,-8
1,0,1,-1
1,0,1,-1
5,0,5,-5
5,2,3,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
5,2,3,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
26,3,23,-20
1,0,1,-1
1,0,1,-1
7,0,7,-7
3,0,3,-3
2,1,1,0
3,1,2,-1
2,0,2,-2
2,0,2,-2
1,0,1,-1
3,0,3,-3
41,7,34,-27
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,1,4,-3
2,1,1,0
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
4,2,2,0
2,0,2,-2
3,1,2,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
8,3,5,-2
5,0,5,-5
1,0,1,-1
2,0,2,-2
1,0,1,-1
5,1,4,-3
1,0,1,-1
1,0,1,-1
6,2,4,-2
1,0,1,-1
1,0,1,-1
8,1,7,-6
3,0,3,-3
1,0,1,-1
3,0,3,-3
1,0,1,-1
35,6,29,-23
1,0,1,-1
1,0,1,-1
1,0,1,-1
12,0,12,-12
2,1,1,0
5,0,5,-5
1,0,1,-1
21,3,18,-15
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
2,0,2,-2
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
2,1,1,0
1,0,1,-1
10,2,8,-6
3,1,2,-1
9,3,6,-3
1,0,1,-1
12,2,10,-8
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
24,7,17,-10
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
6,2,4,-2
12,0,12,-12
1,0,1,-1
1,0,1,-1
1,0,1,-1
11,2,9,-7
2,0,2,-2
1,0,1,-1
1,1,0,1
1,0,1,-1
9,3,6,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,1,4,-3
6,0,6,-6
1,0,1,-1
3,0,3,-3
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
93,2,91,-89
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,1,1,0
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
6,2,4,-2
2,0,2,-2
1,0,1,-1
1,0,1,-1
2,1,1,0
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
32,5,27,-22
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
7,3,4,-1
1,0,1,-1
3,1,2,-1
1,0,1,-1
10,2,8,-6
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
7,2,5,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
7,1,6,-5
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
2,1,1,0
4,1,3,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,0,5,-5
1,0,1,-1
5,1,4,-3
1,0,1,-1
1,0,1,-1
2,0,2,-2
6,2,4,-2
1,0,1,-1
2,0,2,-2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
14,2,12,-10
2,0,2,-2
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
4,1,3,-2
1,0,1,-1
1,0,1,-1
2,1,1,0
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
7,3,4,-1
1,0,1,-1
2,1,1,0
1,0,1,-1
4,0,4,-4
3,1,2,-1
2,1,1,0
1,0,1,-1
10,3,7,-4
6,0,6,-6
10,1,9,-8
1,0,1,-1
12,9,3,6
1,0,1,-1
21,1,20,-19
1,0,1,-1
1,0,1,-1
7,1,6,-5
1,0,1,-1
11,0,11,-11
18,1,17,-16
6,0,6,-6
7,0,7,-7
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
16,2,14,-12
2,0,2,-2
1,1,0,1
1,0,1,-1
1,0,1,-1
5,0,5,-5
38,1,37,-36
6,0,6,-6
1,0,1,-1
6,0,6,-6
1,1,0,1
1,0,1,-1
1,0,1,-1
8,1,7,-6
2,0,2,-2
13,0,13,-13
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
3,0,3,-3
1,0,1,-1
10,1,9,-8
5,1,4,-3
10,1,9,-8
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
3,0,3,-3
