"Total","Positive","Negative","Final decision"
1,0,1,-1
2,0,2,-2
13,2,11,-9
2,1,1,0
35,4,31,-27
1,1,0,1
32,5,27,-22
1,1,0,1
3,1,2,-1
128,16,112,-96
64,14,50,-36
1,1,0,1
38,14,24,-10
50,8,42,-34
39,8,31,-23
3,1,2,-1
2,0,2,-2
2,1,1,0
20,4,16,-12
1,0,1,-1
31,10,21,-11
7,1,6,-5
1,1,0,1
13,3,10,-7
9,2,7,-5
1,1,0,1
14,3,11,-8
1,1,0,1
1,1,0,1
2,2,0,2
14,4,10,-6
1,1,0,1
1,0,1,-1
1,0,1,-1
19,5,14,-9
125,22,103,-81
15,2,13,-11
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
2,0,2,-2
6,1,5,-4
80,12,68,-56
11,3,8,-5
1,0,1,-1
99,12,87,-75
2,0,2,-2
6,0,6,-6
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
1,0,1,-1
2,0,2,-2
2,0,2,-2
1,0,1,-1
4,0,4,-4
4,0,4,-4
11,2,9,-7
1,0,1,-1
2,0,2,-2
3,1,2,-1
2,1,1,0
2,1,1,0
146,14,132,-118
6,0,6,-6
2,1,1,0
5,1,4,-3
12,0,12,-12
49,11,38,-27
1,0,1,-1
4,2,2,0
41,6,35,-29
1,0,1,-1
30,8,22,-14
7,0,7,-7
1,1,0,1
23,10,13,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
115,25,90,-65
9,1,8,-7
7,1,6,-5
1,0,1,-1
100,12,88,-76
62,9,53,-44
238,14,224,-210
19,0,19,-19
16,0,16,-16
5,0,5,-5
186,5,181,-176
1,0,1,-1
4,0,4,-4
1,0,1,-1
41,3,38,-35
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
121,13,108,-95
1,0,1,-1
2,0,2,-2
3,0,3,-3
1,0,1,-1
10,1,9,-8
1,0,1,-1
6,0,6,-6
1,0,1,-1
8,1,7,-6
1,0,1,-1
6,0,6,-6
2,1,1,0
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,0,5,-5
1,0,1,-1
1,0,1,-1
53,10,43,-33
1,0,1,-1
11,2,9,-7
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
76,8,68,-60
1,0,1,-1
14,3,11,-8
1,1,0,1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
5,0,5,-5
15,4,11,-7
6,0,6,-6
37,0,37,-37
23,4,19,-15
1,1,0,1
5,2,3,-1
1,1,0,1
1,1,0,1
14,3,11,-8
16,1,15,-14
21,4,17,-13
138,23,115,-92
2,1,1,0
1,1,0,1
25,5,20,-15
1,0,1,-1
5,2,3,-1
2,1,1,0
1,1,0,1
27,6,21,-15
1,1,0,1
1,1,0,1
45,8,37,-29
11,1,10,-9
190,17,173,-156
1,0,1,-1
56,7,49,-42
106,8,98,-90
68,8,60,-52
9,3,6,-3
3,1,2,-1
30,5,25,-20
6,1,5,-4
20,2,18,-16
4,0,4,-4
9,1,8,-7
1,1,0,1
1,0,1,-1
1,0,1,-1
2,2,0,2
1,0,1,-1
22,4,18,-14
3,2,1,1
1,0,1,-1
52,12,40,-28
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
22,3,19,-16
1,0,1,-1
2,2,0,2
157,37,120,-83
1,1,0,1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,0,5,-5
59,4,55,-51
29,3,26,-23
12,4,8,-4
3,1,2,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
26,2,24,-22
16,4,12,-8
238,53,185,-132
2,1,1,0
3,1,2,-1
85,11,74,-63
5,1,4,-3
2,0,2,-2
2,1,1,0
8,3,5,-2
1,0,1,-1
1,0,1,-1
4,1,3,-2
13,2,11,-9
21,4,17,-13
1,0,1,-1
2,1,1,0
3,2,1,1
1,0,1,-1
1,1,0,1
5,1,4,-3
99,22,77,-55
88,15,73,-58
1,1,0,1
2,1,1,0
5,3,2,1
20,2,18,-16
101,6,95,-89
1,1,0,1
1,0,1,-1
1,0,1,-1
79,12,67,-55
1,0,1,-1
1,0,1,-1
2,0,2,-2
14,3,11,-8
9,2,7,-5
42,7,35,-28
12,1,11,-10
24,3,21,-18
1,0,1,-1
1,0,1,-1
6,0,6,-6
30,4,26,-22
39,3,36,-33
1,0,1,-1
4,0,4,-4
24,3,21,-18
15,0,15,-15
4,0,4,-4
1,0,1,-1
6,2,4,-2
2,1,1,0
1,0,1,-1
12,3,9,-6
1,0,1,-1
1,0,1,-1
46,9,37,-28
4,0,4,-4
22,3,19,-16
25,3,22,-19
1,1,0,1
4,2,2,0
6,2,4,-2
11,1,10,-9
2,0,2,-2
11,2,9,-7
16,7,9,-2
5,1,4,-3
1,0,1,-1
1,0,1,-1
24,12,12,0
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,3,2,1
3,1,2,-1
7,3,4,-1
55,8,47,-39
1,1,0,1
15,2,13,-11
3,1,2,-1
2,2,0,2
1,0,1,-1
1,0,1,-1
1,0,1,-1
25,7,18,-11
1,0,1,-1
6,3,3,0
1,0,1,-1
4,0,4,-4
73,11,62,-51
1,0,1,-1
1,0,1,-1
3,0,3,-3
10,3,7,-4
11,2,9,-7
34,6,28,-22
1,0,1,-1
1,0,1,-1
5,0,5,-5
8,1,7,-6
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,0,1,-1
2,0,2,-2
1,1,0,1
9,1,8,-7
1,0,1,-1
1,0,1,-1
1,1,0,1
2,1,1,0
6,4,2,2
1,1,0,1
1,1,0,1
1,1,0,1
3,1,2,-1
106,7,99,-92
3,1,2,-1
13,0,13,-13
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
39,8,31,-23
5,0,5,-5
3,1,2,-1
1,0,1,-1
13,0,13,-13
1,1,0,1
24,4,20,-16
1,1,0,1
1,1,0,1
49,9,40,-31
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
43,1,42,-41
30,9,21,-12
1,0,1,-1
6,0,6,-6
1,0,1,-1
1,0,1,-1
5,1,4,-3
23,4,19,-15
3,0,3,-3
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
14,4,10,-6
15,3,12,-9
7,1,6,-5
6,1,5,-4
4,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
4,3,1,2
70,4,66,-62
2,0,2,-2
7,1,6,-5
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
4,0,4,-4
16,2,14,-12
2,1,1,0
1,0,1,-1
1,0,1,-1
8,2,6,-4
4,2,2,0
5,0,5,-5
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,1,0,1
74,6,68,-62
1,0,1,-1
2,1,1,0
6,2,4,-2
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
2,0,2,-2
43,13,30,-17
59,27,32,-5
1,1,0,1
24,4,20,-16
1,1,0,1
305,17,288,-271
1,0,1,-1
26,4,22,-18
2,0,2,-2
1,0,1,-1
5,0,5,-5
71,10,61,-51
88,5,83,-78
2,0,2,-2
3,1,2,-1
1,1,0,1
1,1,0,1
1,1,0,1
18,2,16,-14
35,7,28,-21
1,1,0,1
23,8,15,-7
1,1,0,1
2,1,1,0
17,5,12,-7
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
11,3,8,-5
1,1,0,1
34,5,29,-24
1,1,0,1
1,1,0,1
1,1,0,1
4,1,3,-2
1,1,0,1
1,1,0,1
1,1,0,1
8,3,5,-2
1,0,1,-1
1,1,0,1
2,1,1,0
1,1,0,1
26,7,19,-12
57,8,49,-41
23,4,19,-15
1,1,0,1
1,1,0,1
19,3,16,-13
136,22,114,-92
1,1,0,1
1,0,1,-1
4,2,2,0
1,1,0,1
1,0,1,-1
17,6,11,-5
2,0,2,-2
1,1,0,1
13,3,10,-7
1,1,0,1
4,1,3,-2
1,1,0,1
4,2,2,0
10,1,9,-8
2,2,0,2
3,1,2,-1
3,1,2,-1
7,1,6,-5
3,1,2,-1
15,2,13,-11
1,1,0,1
6,1,5,-4
1,1,0,1
6,2,4,-2
1,1,0,1
8,3,5,-2
1,1,0,1
1,1,0,1
31,7,24,-17
6,3,3,0
6,1,5,-4
9,4,5,-1
1,1,0,1
1,1,0,1
4,1,3,-2
1,1,0,1
16,2,14,-12
1,1,0,1
1,1,0,1
4,1,3,-2
2,1,1,0
7,2,5,-3
22,2,20,-18
3,1,2,-1
136,13,123,-110
10,1,9,-8
1,1,0,1
1,1,0,1
4,1,3,-2
1,1,0,1
1,1,0,1
1,1,0,1
19,4,15,-11
2,1,1,0
60,7,53,-46
1,1,0,1
1,1,0,1
1,1,0,1
6,1,5,-4
2,1,1,0
1,1,0,1
15,4,11,-7
2,1,1,0
15,4,11,-7
7,2,5,-3
3,2,1,1
1,1,0,1
1,1,0,1
37,3,34,-31
3,2,1,1
1,1,0,1
2,2,0,2
1,1,0,1
23,5,18,-13
1,1,0,1
1,1,0,1
5,4,1,3
1,1,0,1
1,1,0,1
1,1,0,1
34,11,23,-12
4,1,3,-2
1,1,0,1
49,6,43,-37
2,1,1,0
3,0,3,-3
3,0,3,-3
1,1,0,1
8,1,7,-6
1,1,0,1
1,1,0,1
6,4,2,2
59,15,44,-29
9,5,4,1
1,1,0,1
1,1,0,1
14,2,12,-10
1,1,0,1
3,3,0,3
10,1,9,-8
1,1,0,1
14,4,10,-6
4,1,3,-2
1,0,1,-1
1,1,0,1
4,1,3,-2
2,2,0,2
4,1,3,-2
110,8,102,-94
1,1,0,1
161,26,135,-109
5,3,2,1
34,8,26,-18
1,1,0,1
1,1,0,1
3,2,1,1
3,1,2,-1
1,1,0,1
5,1,4,-3
6,3,3,0
9,4,5,-1
1,0,1,-1
30,1,29,-28
7,1,6,-5
9,2,7,-5
18,5,13,-8
1,1,0,1
6,1,5,-4
135,13,122,-109
24,5,19,-14
1,1,0,1
1,1,0,1
16,3,13,-10
1,1,0,1
4,1,3,-2
4,1,3,-2
1,1,0,1
1,1,0,1
3,0,3,-3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
5,1,4,-3
30,6,24,-18
21,2,19,-17
1,0,1,-1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
2,0,2,-2
2,0,2,-2
1,0,1,-1
5,2,3,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
2,0,2,-2
36,8,28,-20
1,1,0,1
28,8,20,-12
11,4,7,-3
5,0,5,-5
1,0,1,-1
6,0,6,-6
1,0,1,-1
9,3,6,-3
1,0,1,-1
38,12,26,-14
1,0,1,-1
7,0,7,-7
1,0,1,-1
1,0,1,-1
2,0,2,-2
2,0,2,-2
2,0,2,-2
2,0,2,-2
2,0,2,-2
2,0,2,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
19,7,12,-5
1,0,1,-1
11,2,9,-7
1,0,1,-1
3,0,3,-3
9,1,8,-7
4,1,3,-2
1,0,1,-1
1,0,1,-1
8,3,5,-2
1,0,1,-1
3,0,3,-3
3,0,3,-3
2,0,2,-2
3,0,3,-3
2,0,2,-2
4,0,4,-4
2,1,1,0
1,0,1,-1
1,0,1,-1
3,0,3,-3
2,0,2,-2
6,2,4,-2
1,0,1,-1
12,5,7,-2
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
10,5,5,0
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
16,3,13,-10
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
11,1,10,-9
6,2,4,-2
11,1,10,-9
1,0,1,-1
42,3,39,-36
10,2,8,-6
2,1,1,0
10,1,9,-8
1,0,1,-1
25,1,24,-23
7,2,5,-3
10,0,10,-10
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
48,3,45,-42
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
71,15,56,-41
1,0,1,-1
1,0,1,-1
2,0,2,-2
4,1,3,-2
1,0,1,-1
1,0,1,-1
13,3,10,-7
1,0,1,-1
63,3,60,-57
1,0,1,-1
2,0,2,-2
4,1,3,-2
1,0,1,-1
38,5,33,-28
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
52,5,47,-42
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
13,1,12,-11
1,0,1,-1
1,0,1,-1
1,0,1,-1
52,5,47,-42
1,0,1,-1
1,0,1,-1
1,0,1,-1
34,3,31,-28
